time,site_id,date_begin,date_end,agg_level,cluster_key,round,epoch,loss
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,185,0.0018858170369639993
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,186,0.0018942581955343485
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,187,0.0018976948922500014
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,188,0.0018821668345481157
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,189,0.0018921042792499065
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,190,0.0018834939692169428
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,191,0.001984345493838191
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,192,0.0019385919440537691
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,193,0.0018888021586462855
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,194,0.0018919819267466664
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,195,0.0018774482887238264
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,196,0.001895360299386084
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,197,0.0018835882656276226
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,198,0.0018901224248111248
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,199,0.0019220104441046715
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-09-12,site,,1,200,0.0018709551077336073
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,1,0.01401490531861782
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,2,0.01329214870929718
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,3,0.013176939450204372
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,4,0.013195489533245564
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,5,0.013140210881829262
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,6,0.013135326094925404
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,7,0.01317695714533329
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,8,0.013077651150524616
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,9,0.013124324381351471
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,10,0.013066611252725124
2023-01-01,a2d30421-5731-435a-b7ba-03d37ff0e0ce,2023-01-01,2024-04-30,site,,2,11,0.013086236082017422
